species,lon,lat,source
Philydor atricapillus,-46.716667,-22.6,Hasui
Ilicura militaris,-46.716667,-22.6,Hasui
Anabacerthia amaurotis,-46.616667,-23.966667,Hasui
Philydor atricapillus,-46.616667,-23.966667,Hasui
Cichlocolaptes leucophrus,-46.616667,-23.966667,Hasui
Anabacerthia lichtensteini,-46.616667,-23.966667,Hasui
Sclerurus scansor,-46.616667,-23.966667,Hasui
Drymophila ochropyga,-46.616667,-23.966667,Hasui
Myrmotherula unicolor,-46.616667,-23.966667,Hasui
Rhopias gularis,-46.616667,-23.966667,Hasui
Dysithamnus xanthopterus,-46.616667,-23.966667,Hasui
Merulaxis ater,-46.616667,-23.966667,Hasui
Mionectes rufiventris,-46.616667,-23.966667,Hasui
Phylloscartes oustaleti,-46.616667,-23.966667,Hasui
Hemitriccus orbitatus,-46.616667,-23.966667,Hasui
Ilicura militaris,-46.616667,-23.966667,Hasui
Schiffornis virescens,-46.616667,-23.966667,Hasui
Carpornis cucullata,-46.616667,-23.966667,Hasui
Lipaugus lanioides,-46.616667,-23.966667,Hasui
Merulaxis ater,-46.5,-23.966667,Hasui
Ilicura militaris,-46.5,-23.966667,Hasui
Philydor atricapillus,-45.35,-23.8,Hasui
Sclerurus scansor,-45.35,-23.8,Hasui
Terenura maculata,-45.35,-23.8,Hasui
Rhopias gularis,-45.35,-23.8,Hasui
Merulaxis ater,-45.35,-23.8,Hasui
Philydor atricapillus,-45.833333,-23.75,Hasui
Mionectes rufiventris,-45.833333,-23.75,Hasui
Carpornis cucullata,-46.616667,-23.533333,Hasui
Philydor atricapillus,-46.616667,-23.533333,Hasui
Cranioleuca pallida,-46.4627,-23.5838,Hasui
Cranioleuca pallida,-46.712535,-23.680733,Hasui
Neopelma chrysolophum,-46.712535,-23.680733,Hasui
Ilicura militaris,-46.712535,-23.680733,Hasui
Schiffornis virescens,-46.712535,-23.680733,Hasui
Drymophila ochropyga,-46.616667,-23.533333,Hasui
Neopelma chrysolophum,-46.616667,-23.533333,Hasui
Cranioleuca pallida,-46.616667,-23.533333,Hasui
Hemitriccus orbitatus,-46.616667,-23.533333,Hasui
Schiffornis virescens,-46.616667,-23.533333,Hasui
Neopelma chrysolophum,-46.71892,-23.651468,Hasui
Carpornis cucullata,-46.733333,-23.733333,Hasui
Cranioleuca pallida,-46.845547,-23.611401,Hasui
Cranioleuca pallida,-46.70792,-23.640446,Hasui
Cranioleuca pallida,-46.705476,-23.867555,Hasui
Mionectes rufiventris,-46.705476,-23.867555,Hasui
Carpornis cucullata,-46.694222,-23.795895,Hasui
Cranioleuca pallida,-46.713648,-23.868575,Hasui
Carpornis cucullata,-46.6789,-23.9364,Hasui
Cranioleuca pallida,-46.6789,-23.9364,Hasui
Schiffornis virescens,-46.6789,-23.9364,Hasui
Carpornis cucullata,-46.6991,-23.9787,Hasui
Cranioleuca pallida,-46.6991,-23.9787,Hasui
Schiffornis virescens,-46.652424,-23.808654,Hasui
Cranioleuca pallida,-46.610393,-23.585339,Hasui
Cranioleuca pallida,-46.721409,-23.567373,Hasui
Drymophila ochropyga,-46.60986,-23.58704,Hasui
Phylloscartes paulista,-46.60986,-23.58704,Hasui
Hemitriccus orbitatus,-46.60986,-23.58704,Hasui
Haplospiza unicolor,-46.60986,-23.58704,Hasui
Ilicura militaris,-46.60986,-23.58704,Hasui
Neopelma chrysolophum,-46.60986,-23.58704,Hasui
Mionectes rufiventris,-46.60986,-23.58704,Hasui
Schiffornis virescens,-46.60986,-23.58704,Hasui
Sclerurus scansor,-46.60986,-23.58704,Hasui
Cranioleuca pallida,-46.617361,-23.64299,Hasui
Cranioleuca pallida,-46.7544,-23.6918,Hasui
Cranioleuca pallida,-46.755014,-23.69092,Hasui
Cranioleuca pallida,-46.7899,-23.412,Hasui
Carpornis cucullata,-46.743032,-23.985341,Hasui
Cranioleuca pallida,-46.743032,-23.985341,Hasui
