species,date_of_search,Hasui_filtered,gbif_filtered,Hasui_clean1,gbif_clean1,merged_clean1,n_thin_5,n_thin_10,target_species,obs
Drymophila rubricollis,21/07/2020,122,2604,120,2511,726,292,214,1,
Cichlocolaptes leucophrus,21/07/2020,187,2678,182,2544,681,312,224,1,
Ramphodon naevius,21/07/2020,169,5944,160,5599,1132,359,228,1,
Thamnophilus ambiguus,21/07/2020,43,2732,43,2249,735,338,235,1,
Pteroglossus bailloni,21/07/2020,147,2477,145,2411,662,336,245,1,
Scytalopus speluncae,21/07/2020,165,2980,164,2792,846,354,255,1,
Anabazenops fuscus,21/07/2020,245,3829,241,3689,987,377,257,1,
Carpornis cucullata,21/07/2020,215,3798,209,3682,988,390,259,1,
Rhopias gularis,21/07/2020,297,5227,286,5067,1233,422,273,1,
Terenura maculata,21/07/2020,145,6094,131,5935,1199,403,277,1,
Drymophila ochropyga,21/07/2020,333,2858,327,2721,899,406,289,1,
Thlypopsis pyrrhocoma,21/07/2020,0,2214,0,2213,681,371,296,1,
Phyllomyias virescens,21/07/2020,78,2105,75,1923,666,391,311,1,
Tinamus solitarius,21/07/2020,239,3719,233,3464,1003,420,315,1,
Hemitriccus orbitatus,21/07/2020,414,2630,394,2536,938,438,317,1,
Heliobletus contaminatus,21/07/2020,269,2928,268,2690,925,443,330,1,
Anabacerthia lichtensteini,21/07/2020,199,4307,192,4246,1106,473,343,1,
Saltator fuliginosus,21/07/2020,327,4040,319,3882,1158,495,375,1,
Philydor atricapillus,21/07/2020,383,4988,359,4646,1332,549,385,1,
Drymophila ferruginea,21/07/2020,284,6559,268,6195,1486,556,397,1,
Ilicura militaris,21/07/2020,346,5820,338,5616,1542,602,399,1,
Cranioleuca pallida,21/07/2020,355,8681,351,8571,1862,607,401,1,
Haplospiza unicolor,21/07/2020,383,2694,377,2413,981,537,403,1,
Odontophorus capueira,21/07/2020,261,3416,258,3143,1093,551,416,1,
Piculus aurulentus,21/07/2020,178,3396,177,3282,1153,583,438,1,
Sclerurus scansor,21/07/2020,447,4075,441,3799,1375,688,507,1,
Campephilus robustus,21/07/2020,263,3840,253,3642,1277,677,534,1,
Picumnus temminckii,21/07/2020,279,10378,275,10042,2385,869,579,1,
Mionectes rufiventris,21/07/2020,609,5688,587,5417,1876,883,610,1,
Schiffornis virescens,21/07/2020,667,9948,651,9627,2752,1155,820,1,
